No.,単語,漢字表記,品詞,英訳,課数
87,いかが,,adv.,how (polite expression of どう),読L19-II
140,いらっしゃる,,u-v.,"honorific expression for いく, くる, and いる",会L19
155,うける,受ける,ru-v.,to take (an examination) ,"読L19-III, 会L22"
200,えんりょする,遠慮する,irr-v.,to hold back for the time being; to refrain from ,会L19
221,おくさま,奥様,n.,(your/someone’s) wife (polite),会L19
224,おくる,送る,u-v.,to walk/drive (someone),会L19
226,おこさん,お子さん,n.,(your/someone’s) child (polite),会L19
244,おせわになる,お世話になる,u-v.,to be in someone’s care,"読L19-II, 会L23"
254,おっしゃる,,u-v.,honorific expression for いう,会L19
293,おもいだす,思い出す,u-v.,to recall,読L19-II
302,おやすみになる,お休みになる,u-v.,honorific expression for ねる,会L19
309,おれい,お礼,n.,expression of gratitude,会L19
350,かける,,ru-v.,to sit down ,会L19
462,きまる,決まる,u-v.,to be decided,会L19
509,くださる,下さる,u-v.,honorific expression for くれる,会L19
533,けいご,敬語,n.,honorific language,会L19
586,こくさい,国際,n.,international,読L19-III
604,ごちそうする,,irr-v.,to treat/invite (someone) to a meal ,会L19
606,こちら,,n.,this way (polite),会L19
626,ごらんになる,ご覧になる,u-v.,honorific expression for みる,会L19
801,しゅるい,種類,n.,a kind; a sort,会L19
808,しょうぎ,,n.,Japanese chess,読L19-II
810,しょうしょう,少々,adv.,a few seconds,会L19
813,しょうたいする,招待する,irr-v.,to invite someone (to an event/a place) ,会L19
826,しりあう,知り合う,u-v.,to get acquainted with,会L19
884,せいかく,性格,n.,personality,会L19
947,それで,,adv.,then; therefore,会L19
948,それでは,,adv.,well then,読L19-II
966,たいせつにする,大切にする,irr-v.,to take good care of ,読L19-II
972,たいへん,,adv.,greatly,読L19-II
992,たつ,,u-v.,(time) pass,読L19-II
1044,～ちゅう,～中,suf.,while . . .,読L19-II
1046,ちゅうがくせい,中学生,n.,junior high school student,会L19
1092,～ていらっしゃる,,u-v.,honorific expression for ～ている,会L19
1121,でんきこうがく,電気工学,n.,electrical engineering,読L19-III
1146,どうぞよろしくおねがいします,どうぞよろしくお願いします,exp.,Thank you in advance.,読L19-III
1171,どちら,,n.,where (polite),会L19
1174,とつぜん,突然,adv.,suddenly,読L19-III
1205,なかがいい,仲がいい,い-adj.,be on good/close terms; to get along well,会L19
1210,なさる,,u-v.,honorific expression for する,会L19
1212,なぜ,,adv.,why,会L19
1214,なつかしい,,い-adj.,to miss; to long for,読L19-II
1226,なまけもの,怠け者,n.,lazy person,会L19
1282,～のしょうかいで,～の紹介で,exp.,through the introduction of,読L19-III
1283,～のために,,part.,for . . .,読L19-III
1325,はずかしがりや,恥ずかしがり屋,n.,shy person,会L19
1357,はれる,晴れる,ru-v.,to become sunny ,会L19
1392,ひっこす,引っ越す,u-v.,to move (to another place to live),会L19
1431,ぶちょう,部長,n.,department manager,会L19
1512,ほんとうは,本当は,adv.,in fact; originally,会L19
1517,まいあさ,毎朝,adv.,every morning,会L19
1533,まだ,,adv.,still,会L19
1538,まちがい,間違い,n.,mistake,会L19
1578,みなさま,みな様,n.,everyone (polite expression of みなさん),読L19-II
1609,～めいさま,～名様,suf.,party of . . . people,会L19
1614,めしあがる,召し上がる,u-v.,honorific expression for たべる and のむ,会L19
1625,もうしこみ,申し込み,n.,application,読L19-III
1626,もうしわけありません,申し訳ありません,exp.,You have my apologies.,"読L19-III, 会L20"
1634,もし～たら,,adv.,if . . .,読L19-III
1642,もてる,,ru-v.,to be popular (in terms of romantic interest) ,会L19
1679,ゆうじん,友人,n.,friend,読L19-III
1690,ようこそ,,exp.,Welcome.,会L19
1707,よぶ,呼ぶ,u-v.,to call (one’s name); to invite,会L19
1712,よる,寄る,u-v.,to stop by,会L19
1714,よろしくおつたえください,よろしくお伝えください,exp.,Please give my best regards (to . . . ).,会L19
